"Params (lr, epochs)",Mean Squared Error,Standard Deviation,Mean Uncertainty,Median Uncertainty
"(1.0, 30)",0.004511802542717585,0.00019766492881283576,11.129547691448076,11.10190068687083
"(1.0, 50)",0.004519095279689896,0.00019199716470904356,11.108617243264128,11.082777368353314
"(0.5, 30)",0.0044761239907867385,0.00017116592584453318,12.809201433599377,12.785089203233417
"(0.5, 50)",0.004483083696311744,0.00016986307503351957,11.302237541308605,11.276744408678871
"(0.2, 30)",0.0045075029800584745,0.00016924553726413238,8.415483640755847,8.396723858078806
"(0.2, 50)",0.004484621837394484,0.0001749014743922023,11.675483027851095,11.649995802003254
"(0.1, 30)",0.004645106150539645,0.00018173405281490161,31.824309194527817,31.76883117817745
"(0.1, 50)",0.004509123454602612,0.0001651666666719433,12.008670245086002,11.983694157247493
"(0.05, 30)",0.005299667291547691,0.00024372891981881773,79.91005110941838,79.71767439397733
"(0.05, 50)",0.004741457714638619,0.00018098628567369814,41.700954642325506,41.618146239413285
