train_points,gpu_memory,time,train_mse_max,train_mse_tot,train_mse_avg,test_mse_noisy_max,test_mse_noisy_tot,test_mse_noisy_avg,train_mape_max,train_mape_tot,train_mape_avg,test_mape_noisy_max,test_mape_noisy_tot,test_mape_noisy_avg,test_mape_exact_max,test_mape_exact_tot,test_mape_exact_avg,test_mape_exact_uncorrected_max,test_mape_exact_uncorrected_tot,test_mape_exact_uncorrected_avg
1000,1.2723388671875,6.924633502960205,0.0038787585876732386,182892432066068.75,0.00016100938579390598,0.0024669341187549525,101620325132026.66,0.00012895368948660421,0.20183420756500067,0.20218017179741826,0.2015180577465573,0.209452643761135,0.2095503637653699,0.20977801513160216,0.028064860444575488,0.03548428921961084,0.0304490420490188,0.03412320545257115,0.037903768603234834,0.03507491672949315
2000,1.4090576171875,7.528139591217041,0.00339869876103233,147355498606709.56,0.00014236200688142353,0.001958099445531221,72741868089224.19,0.0001009699404707794,0.20609853254677626,0.2051762532546715,0.20533388037462696,0.20719124155828614,0.20728418848998081,0.2068670130283949,0.025113032948868706,0.027625596234875555,0.025683536040038205,0.031509262907371875,0.03317376710244767,0.03185863707335976
3000,1.5574951171875,7.678516387939453,0.0034045012188367993,147703218642035.38,0.00014073059170888755,0.002614208949412914,97569570219639.48,0.00012953697154154432,0.20772449856332015,0.2069697040810016,0.20699726637668353,0.20728761953345604,0.20736197809329657,0.20719213535757774,0.022182579680299512,0.02255454738318899,0.021437414760307423,0.032412286461948325,0.03268920146262561,0.032929091832065376
4000,1.8120524088541667,7.772528171539307,0.0032068094685101904,139401051591597.77,0.0001348531614377516,0.002871267123049689,107870469954759.08,0.00013694288302605574,0.21099759188243444,0.21075446719150961,0.21045837578277618,0.208132601875015,0.20838066608598166,0.2077301734013853,0.020039594976113007,0.020760738644580067,0.018517620753737533,0.02894001989185975,0.03243788631173517,0.02871285518666194
5000,2.1629638671875,8.232923030853271,0.0035986020366619784,161510064747871.78,0.00015124484573941665,0.0030198598647837274,125341347419865.45,0.00014595208203733076,0.2117953764594104,0.211838566955478,0.2115074772009857,0.2053647936068831,0.20487058595463403,0.20504194772983905,0.018425112371174387,0.021256999384843548,0.01673216248085257,0.03123824693644772,0.035851147539145964,0.03167124389244994
6000,2.5542399088541665,8.614680290222168,0.003533825671056076,158762001290870.16,0.00014958268331478525,0.0031841086314582353,139045134356517.8,0.00015154760293040447,0.20984763183696373,0.21048383948726118,0.2095732082590577,0.20351170797638762,0.2037206932511848,0.20306246154203586,0.015186117988937878,0.021676542935983648,0.01376327137541943,0.030250299571748948,0.03607464323827496,0.03156880001261513
7000,3.0262451171875,9.720807790756226,0.003406027869261838,151247610389722.7,0.00014428498765200708,0.0031136971784845686,134909420184639.0,0.0001482368272291412,0.20931898924466674,0.20992907213016962,0.20909020539528378,0.20176341295397313,0.20182668693667133,0.20151939065020633,0.015144827036976997,0.021204476616473292,0.01438970231623674,0.02899754060936528,0.032569558443756905,0.030778939428376777
8000,3.3908284505208335,10.45015573501587,0.0034659391017136903,155272531486349.66,0.0001479283894487354,0.0030161482472244984,126754187403676.47,0.00014397821259042588,0.2097419246354403,0.2101256652835484,0.2094838552655681,0.20346038044445913,0.2045554425630159,0.20325583992500396,0.014952128339292782,0.020986038941905302,0.01411954770358044,0.028539085558066682,0.030056855831655623,0.030993354022888255
9000,4.207234700520833,11.600862264633179,0.0036179930027428696,160943468121006.38,0.0001523722645317865,0.0029254311880546825,125874392702887.33,0.00013985429087414106,0.2091382508855178,0.20891786792762154,0.20892987192965065,0.2034633465791246,0.20331567806621356,0.20354045713545393,0.014677367772652784,0.015571211149057913,0.013933960742423259,0.028109144971076083,0.026687687725104207,0.03012829576595781
10000,4.458536783854167,12.743278741836548,0.00357387828556252,159227286609909.34,0.00015139868629844835,0.0028238639887248765,122754648840449.31,0.00013488708726562256,0.20879276562898608,0.2085270745756368,0.2085554091071658,0.20444396396495057,0.204308037558751,0.20446888152205625,0.01580070319964335,0.01582067855488229,0.013848957775075872,0.02722493624768007,0.026239354584632963,0.030352165532268383
11000,5.0848388671875,14.087496042251587,0.0035294404614832817,156569369575394.34,0.00015047510094175722,0.0032077815859388502,150093107722137.75,0.00014489507006292316,0.2086483629965846,0.20899828714803606,0.20855547219796566,0.20566855234721618,0.2064476785468021,0.205854491909558,0.013534747182062427,0.018347626306700213,0.012475744530732604,0.027097606715346816,0.027641540827797267,0.03107594975220091
12000,5.759318033854167,15.004126787185669,0.003711176008238666,163894896831277.47,0.00015566413711594126,0.0031110739902930587,143718423070721.44,0.00014116747170185107,0.20842974434021858,0.2083314431683339,0.2081956447187766,0.20516118373860062,0.20513689488536302,0.2049479371503735,0.013994659198992624,0.016020325126309166,0.012094094987293956,0.02835005813580298,0.02509960259324607,0.03282862692302139
13000,6.495646158854167,16.801589250564575,0.0036857844475506355,160957878110781.72,0.00015550890747508344,0.003185582254993146,143939312965048.56,0.0001442436083712284,0.2085683164520484,0.2083916054298179,0.20842530628339506,0.2044546045738898,0.20439679809011763,0.20453641471603326,0.01370559803997728,0.014098559878839576,0.012220569074217678,0.02662306147048716,0.027842423456081847,0.030039229714473568
14000,7.299031575520833,18.420623302459717,0.0036530985355659553,160161937453673.44,0.0001550348445177621,0.003259770078793111,145424925472219.12,0.0001475098074496615,0.2089354370415185,0.20893381335644334,0.20880296044749658,0.2058741745714275,0.20641154901952033,0.20648759838909883,0.013195185469496364,0.015943852125781567,0.012429963699254146,0.025667026491157686,0.026226588294192176,0.029504734892069548
15000,8.166219075520834,19.7280011177063,0.0036903958102448603,159538067831106.47,0.00015612574852184486,0.003305713355250835,148615924067611.12,0.00014936971916150506,0.20862339253558876,0.20856928793868307,0.20847340565041278,0.20656263787438836,0.2068789159135887,0.20693826256774572,0.014586428929744367,0.017012787142895353,0.013286727063100273,0.024679857267206614,0.027087742444795542,0.03023048732757097
16000,9.6473388671875,23.24523377418518,0.003622337081790356,156713147696715.66,0.0001545777297569759,0.0033854643229844876,154262911956137.75,0.0001520541512689058,0.20892625087737304,0.2090159924171322,0.20883180921750868,0.20849833330886536,0.2083213613645792,0.20888273998836712,0.011571456071451089,0.014848207727144042,0.01256648829026316,0.02764534695957791,0.020143234260252534,0.03023722461072466
