train_points,gpu_memory,time,train_mse_max,train_mse_tot,train_mse_avg,test_mse_noisy_max,test_mse_noisy_tot,test_mse_noisy_avg,test_mse_exact_max,test_mse_exact_tot,test_mse_exact_avg,train_mape_max,train_mape_tot,train_mape_avg,test_mape_noisy_max,test_mape_noisy_tot,test_mape_noisy_avg,test_mape_exact_max,test_mape_exact_tot,test_mape_exact_avg,test_mape_exact_uncorrected_max,test_mape_exact_uncorrected_tot,test_mape_exact_uncorrected_avg
500,1.2502034505208333,16.569414138793945,0.00662967963306531,322154789551093.9,0.0002751691615161809,0.0034830317044843425,143950831779947.66,0.00017639407155197866,0.00021722683082421267,9339378613068.213,9.403028403718921e-06,0.2470480029782754,0.24369605528717408,0.2453763294451934,0.2572082784918639,0.2595838704057351,0.25804507314838837,0.041814682236645785,0.044855658584276856,0.0411014875377888,0.04735144324910006,0.0485086237867085,0.047309638700241075
1000,1.2801513671875,10.435235261917114,0.005509844295783692,249467634180401.75,0.00022956348802393237,0.003469817989311851,162887480879695.62,0.00018241131913266468,0.00017975552199937556,11538838578337.592,1.0189866086682673e-05,0.2476263329480921,0.24637733466978906,0.2464385744495631,0.2546903316070284,0.25631443163070083,0.25451092395202024,0.03236600581977675,0.036813095470576034,0.03149270238042358,0.042201697886981845,0.04488641329557243,0.042697141755244826
1500,1.3146565755208333,10.435201406478882,0.005165837073040331,225140845880965.38,0.0002169588914291052,0.0030669185004480667,128781745881022.89,0.00015455200771222698,0.00016878132306861356,12910258646034.426,9.408843972635355e-06,0.24925779541429358,0.247931234548062,0.24843016037420337,0.2543815919801173,0.2556553165145786,0.25414014472526775,0.032161663900245364,0.04056045945456377,0.036579758157823467,0.03981581155389593,0.04604173642230586,0.04270269462079126
2000,1.4064534505208333,11.801665306091309,0.004775357018869404,206640719564106.8,0.00020127687301754583,0.0027377934376458424,99622483559620.42,0.00014175278646434586,0.00024317306462643177,22634354895826.977,1.2314225712941552e-05,0.25179337225960546,0.25061492302064486,0.25099715370167724,0.2532360715752427,0.25355599576100296,0.2529914635743986,0.02885400634873284,0.03144270647662543,0.029693202074217134,0.04188184202823261,0.043216830158917446,0.04210500974363839
2500,1.4696044921875,11.741940021514893,0.005303292934063654,228444282592733.8,0.00021669464629665237,0.0032782709267982794,108487379224675.25,0.0001680481022859787,0.0001760337894940608,14119935674670.63,8.77610761572213e-06,0.2530319118447825,0.2521510001367945,0.2522847622465499,0.2517959140205292,0.25180440730886056,0.25162818353656485,0.027371458214794926,0.02661658707990373,0.02639395710977983,0.04584675866227677,0.04552559106256221,0.04523456945627167
3000,1.5789794921875,11.972439289093018,0.004827183480320382,207802222095942.44,0.00020010017367799311,0.003745558903310892,138465663296847.83,0.00018656603694905364,0.00015621555312640174,13591175079486.086,7.956328595975445e-06,0.2539424842728691,0.25283052564969927,0.2530084459732758,0.2519710122322495,0.25212013302973485,0.25192611180559327,0.026334954064165455,0.02573722445307645,0.025373292521540008,0.044295706645036084,0.044190122026749636,0.04413121290024372
3500,1.6818440755208333,11.938527345657349,0.004888526450897514,211920414491653.78,0.0002030504833013793,0.0035847449514617284,127993884865692.03,0.00017713859997850288,0.00013718370389203443,10433938639118.281,6.765957312386947e-06,0.2572681619341776,0.256564224135411,0.2566199411660744,0.2514798204829313,0.2513568128270073,0.2513232020965958,0.025762695458109063,0.026008130844504804,0.02449428168782632,0.04350490639200903,0.04849862439054016,0.043053265424910565
4000,1.8491617838541667,11.946423292160034,0.004547356178653708,196389531473350.6,0.00019192874792983518,0.004116090402803582,153781210764058.8,0.00019721481285066723,0.00012073028515514191,7816844755819.78,5.1693710045435625e-06,0.25789076870371286,0.2573257577172231,0.25732478243032614,0.2540355247378435,0.2539812780170144,0.25364938102330625,0.023344762899495223,0.02267229277458914,0.022201662457379867,0.03979354476250066,0.04161227801041732,0.03940928268225528
4500,1.9969482421875,12.199036359786987,0.004852275801767732,213218346482705.2,0.00020314763562841125,0.004199829567673293,164545437865176.78,0.00020158794972914863,9.289262007772004e-05,5514298696882.082,3.9811326307873e-06,0.2574932802745183,0.2573112843984268,0.2570197292578351,0.255255847641502,0.255121288637714,0.2549161169319732,0.022667542177631745,0.023464914830559812,0.02103258113579378,0.04089768750694829,0.04555563573034378,0.040799775050156493
5000,2.1551513671875,12.296098709106445,0.00511598273913948,230584413152437.97,0.0002155866029054571,0.004351235295206411,181027273048095.62,0.00021119635941950694,8.590680709879303e-05,7525029082620.416,3.9718499123025945e-06,0.25891585539935086,0.258605842288668,0.2585305445219835,0.2508667285889028,0.25043768030724534,0.25051683899164306,0.02218611746287138,0.022279207501354446,0.020388540013697918,0.04324368125750402,0.04225244688591148,0.043258999258015976
5500,2.3615315755208335,12.497481107711792,0.0051828039626458855,231927805045312.0,0.00021826243250637494,0.00420751881896375,171140675369499.75,0.00020495936933261522,7.28335477237132e-05,5753121992252.096,3.07467556049317e-06,0.25827568413820445,0.25806211265449175,0.2579203850132757,0.2509769029201568,0.25070460667280353,0.2507200132122378,0.019936055605685666,0.02046871328313846,0.01816809014754704,0.043347297565312526,0.045363087036203925,0.04359539168981396
6000,2.6837972005208335,12.796147346496582,0.005030319431035898,224549071118532.7,0.00021333176483201172,0.004577140184839518,197762175432103.62,0.00021915094895671612,9.964044840457054e-05,7312622317979.16,3.786650386575611e-06,0.25638160737277105,0.2562634870431597,0.2560309209509248,0.2483398714344822,0.24785270811459578,0.24790023881570955,0.018152306683817416,0.01950068304931993,0.016643041489981126,0.04262801002253771,0.04634131890524938,0.04318386241320591
