train_points,gpu_memory,time,train_mse_max,train_mse_tot,train_mse_avg,test_mse_noisy_max,test_mse_noisy_tot,test_mse_noisy_avg,test_mse_exact_max,test_mse_exact_tot,test_mse_exact_avg,train_mape_max,train_mape_tot,train_mape_avg,test_mape_noisy_max,test_mape_noisy_tot,test_mape_noisy_avg,test_mape_exact_max,test_mape_exact_tot,test_mape_exact_avg,test_mape_exact_uncorrected_max,test_mape_exact_uncorrected_tot,test_mape_exact_uncorrected_avg
500,1.2502034505208333,6.058732986450195,0.00020110861335837583,9622878832745.48,7.616891478505225e-06,0.00014334731412003513,5010939268999.233,6.287504526204252e-06,1.9314018638893724e-05,1211400502772.8335,8.53143252825193e-07,0.04074741562066741,0.0401566622726517,0.03903058132564511,0.04232352309992948,0.04239037705514836,0.04086399880792555,0.015289640600149177,0.01491223874286015,0.011353837401019305,0.015085046257212397,0.014763867855704377,0.011199577840848657
1000,1.2795003255208333,6.632906436920166,0.00018567481119860786,8880431921241.598,7.4681002583350706e-06,0.00011306181593146262,5739114838615.93,6.184350857963699e-06,1.119745577361105e-05,1357540928346.4565,5.127785543687579e-07,0.03952353475416597,0.04132834471560994,0.03892910728870757,0.04125690914217005,0.044601763814950644,0.04218794939072496,0.011631151865544953,0.018983347234903886,0.012418271306245397,0.012879156422462163,0.018964157856223712,0.012571616373655354
1500,1.3140055338541667,6.57590913772583,0.00017649864357727795,7786027123562.2295,7.223874335574858e-06,0.00010204013382548716,4072760514918.3213,4.866235921288456e-06,2.82842473327064e-05,876383097085.8365,6.296588794941703e-07,0.04024335486609942,0.039649766492265315,0.03995645590808925,0.0404456563581947,0.04070641671725204,0.04014555649543712,0.012569739752038001,0.011723790105290188,0.010551976068920178,0.01257502852008809,0.011733281620603426,0.01045048527681599
2000,1.4064534505208333,7.8641133308410645,0.00018092909684782002,9898708209535.283,6.703761390237692e-06,0.00010003921418991989,5974382198433.195,4.694018136769352e-06,3.465604909806773e-05,5242999768015.919,1.1691998857175585e-06,0.04043711369635314,0.04170305948118936,0.04010058558144063,0.040499850070854784,0.04143625141247898,0.039949706670759394,0.009672543397664084,0.01290418180401504,0.009497494839372182,0.009708632312679618,0.012587268431153795,0.009621212595611937
2500,1.4696044921875,7.892184257507324,0.00022869301893130886,12817318499678.826,6.912685812580902e-06,0.000132210440969225,6443452198612.657,5.241693734908168e-06,7.406090694157896e-05,6301181310353.112,1.1478497360533117e-06,0.041455085555078174,0.04329462542183495,0.04057178081934506,0.04148042888692686,0.042861166985492756,0.040548823369436174,0.010726120145706904,0.016918218802554844,0.008897297094478904,0.011770225652022237,0.01664572556029882,0.008661300363148381
3000,1.5561930338541667,8.11351203918457,0.00016209976836833228,14180128166852.79,6.387317298835148e-06,0.0001260296374920847,7507119846299.811,5.135602592278986e-06,3.275635226774468e-05,6295952170841.8,5.367838859726043e-07,0.04091150964692551,0.043757875571349907,0.040323686779340916,0.04092476649400875,0.04334262145930893,0.04085720829008525,0.008516043066755165,0.016813757779565633,0.007391207541967439,0.009084216808999386,0.01712473665933748,0.007928190544902203
3500,1.6818440755208333,8.096731185913086,0.00016692355157508753,12538246649697.512,6.354453556475235e-06,0.00013010835037101482,8376133471434.082,5.051640802311627e-06,3.752942900626122e-05,6075558250356.783,5.859228999838572e-07,0.041820353411658226,0.04472741577786062,0.04088739452653208,0.0409082561004529,0.04392849863558211,0.040534604304391944,0.010354405762643005,0.017017347683214133,0.007512327711789315,0.011122381062739117,0.01782249540721123,0.007853716817003163
4000,1.8393961588541667,8.286550760269165,0.00015081253040582582,11066449254198.97,5.840427017846617e-06,0.00012645602468516707,9019289464487.055,5.609825371964004e-06,1.6397952586847147e-05,6098834607053.662,3.8435006558756986e-07,0.04105366111761376,0.044833316929701765,0.04089451607158225,0.040651809857290035,0.044253876621186315,0.04021845614018453,0.007339448837724498,0.019009344951557428,0.0073203643035071415,0.00765194748215934,0.01918618880788358,0.007153263836627206
4500,1.9962972005208333,8.561981678009033,0.00015786526756563174,11725590783601.654,6.337245062767235e-06,0.00012328616628385527,8731148904297.283,6.047056227369409e-06,1.0891826368319615e-05,4908763236354.221,5.973008079056646e-07,0.04143169262069694,0.04396327728290745,0.04102200774790317,0.04061972308777336,0.043433054089653804,0.04028374612758413,0.008828442875366356,0.016278308780937795,0.0074655914918262956,0.009574610537342997,0.019283626305681062,0.007354015701331336
5000,2.1824951171875,8.917020082473755,0.00016140633554226626,9924278911034.924,6.895604002050763e-06,0.00012469052960596734,7373593457670.32,6.3196661349833485e-06,1.0725752734445374e-05,3280359688765.788,7.816436271348553e-07,0.041090897087352626,0.04187743416571805,0.041316828783192386,0.04003110485030131,0.04103511509641661,0.03989154482501402,0.006857992021839502,0.010103822100570346,0.008519168186101963,0.00861237874399129,0.010546183313962535,0.00842776015420278
5500,2.3263753255208335,8.887036561965942,0.00016382858610510908,11406243684484.033,7.114358055901034e-06,0.0001231721544439958,8142934103879.773,6.245372495944344e-06,1.0716851881879478e-05,4620101022043.456,8.381228192143885e-07,0.0417665387483148,0.0430329576870823,0.04168702726347589,0.04001887543519409,0.04163547811967723,0.04034617314575155,0.009854243592717898,0.014569290274304494,0.01014849798111972,0.010900472124838308,0.014483950975471534,0.010145989189780972
6000,2.6499430338541665,9.225486278533936,0.0001568515123911851,13203671501663.35,7.093391563633628e-06,0.00013231229362842815,10705196288897.213,6.912377723803075e-06,7.487300349161337e-06,6238165542419.915,1.1712675394050598e-06,0.04111475314007987,0.04445622246034757,0.04124741341129346,0.0397943357568237,0.04355033116890826,0.04014246302432725,0.008655993586094084,0.01904471897265067,0.009908517386334154,0.00953902754732583,0.019354306680353497,0.009916199164604398
6500,2.8660888671875,9.71651291847229,0.0001568062726435356,10337006902241.525,6.229394455999088e-06,0.00013902131733278098,9423834438791.334,6.1115898314613044e-06,1.1896949213711112e-05,5660971163999.907,3.3428351620454617e-07,0.04148559294507726,0.04244834980025051,0.04051255258409989,0.04043288554755598,0.041215953900340906,0.03936736742975924,0.010179784013271466,0.01371478431322935,0.005450043792170984,0.011271242341502216,0.013638238158895652,0.005453491945639998
7000,3.0920003255208335,10.214334726333618,0.00015131644238075564,8810327753359.842,6.2321813569491995e-06,0.00012962958503070365,6919557086996.301,6.20029267096033e-06,9.049980316022031e-06,2745919109795.7407,7.262443814252184e-07,0.04128228438611558,0.042201218776745514,0.040771405432275386,0.039901467761855276,0.04063991622261483,0.03916955210046819,0.010429753233012217,0.012580959746829915,0.007013446236732601,0.010968486632600454,0.01272344820179223,0.007031105727725414
7500,3.1004638671875,10.728849172592163,0.0001596016131225494,9499675091590.424,6.898333550337276e-06,0.00013547185733751166,8315648944636.795,6.6761351798944085e-06,2.3837122564542156e-05,5056233066056.348,1.5365786614086195e-06,0.040667163255544966,0.04341693035648013,0.04116441242948748,0.03917379946405471,0.042135069503644415,0.03976918013195312,0.006512659890575475,0.017216118730037686,0.009696532195564395,0.006465663253936336,0.017323203053797552,0.009958469992589088
8000,3.3367919921875,10.555999279022217,0.0001626760576768109,7389087212697.692,6.869123727218873e-06,0.00013385695987523503,5618973918942.752,6.311184806792235e-06,2.545995269471256e-05,1359313011858.7236,1.0965323067784511e-06,0.040788858699397794,0.0411932973097683,0.040947913187143865,0.03935763918904147,0.039867306862630715,0.039657595732167567,0.006899949993258829,0.00974604412160537,0.007804292586505845,0.0069423921585332745,0.009727864465633226,0.00786529038118331
8500,3.8973388671875,11.402457237243652,0.000167808798072892,7486906313308.98,7.065171183647232e-06,0.0001308703316065731,5540713269071.785,6.2789576434753745e-06,2.385618762016735e-05,1191363884842.3926,1.0582029496035918e-06,0.04080894435409182,0.04112834855768179,0.04128826187198322,0.03916401636115776,0.03960975920304923,0.03991414903919269,0.006934619695609632,0.009230229100165755,0.00958672747518051,0.0069495146201433745,0.009324298997251807,0.00960808981570182
