train_points,gpu_memory,time,train_mse_max,train_mse_tot,train_mse_avg,test_mse_noisy_max,test_mse_noisy_tot,test_mse_noisy_avg,test_mse_exact_max,test_mse_exact_tot,test_mse_exact_avg,train_mape_max,train_mape_tot,train_mape_avg,test_mape_noisy_max,test_mape_noisy_tot,test_mape_noisy_avg,test_mape_exact_max,test_mape_exact_tot,test_mape_exact_avg,test_mape_exact_uncorrected_max,test_mape_exact_uncorrected_tot,test_mape_exact_uncorrected_avg
500,1.0887451171875,2.668752670288086,0.0011186566748844552,102494239111216.94,2.6302244533905528e-05,0.0006679506387023907,66895600087646.48,1.8297476567793876e-05,0.0006679506387023906,66895600087647.195,1.8297476567793882e-05,0.08081583257338419,0.13678443312086397,0.062234135917290045,0.08374788478610237,0.17095703799302459,0.06856555053289996,0.08374788478610239,0.1709570379930245,0.06856555053289952,0.08353686257456354,0.169289756115298,0.07030521713121138
1000,1.0887451171875,0.8821542263031006,0.0008879063141412729,68492596790348.24,1.6145461517614268e-05,0.0005846029551061958,64628994184985.31,2.1156840325592397e-05,0.0005846029551061958,64628994184985.516,2.1156840325592404e-05,0.058278889070735224,0.11494859705347732,0.05379479797676497,0.056703401100665116,0.12597681524571375,0.06023268213131989,0.05670340110066509,0.12597681524571364,0.06023268213131952,0.05622649085838007,0.12323001447527242,0.05992969045190934
1500,1.0887451171875,1.2739362716674805,0.0005131499301955335,29963041904178.844,8.760091852488029e-06,0.00035290255078947066,29560958914517.207,9.590961856343429e-06,0.0003529025507894706,29560958914517.28,9.590961856343425e-06,0.04698554808771939,0.08140839156019472,0.03959893743032168,0.04634863148164414,0.08407822225328627,0.041427867088698826,0.04634863148164419,0.0840782222532862,0.0414278670886986,0.04639269032633162,0.08406854914036876,0.04140693973369271
2000,1.0887451171875,1.1794793605804443,0.0006071420959326981,10943835026297.973,1.0100441056901286e-05,0.0005170784432141531,10615254737727.285,1.1118005739149242e-05,0.0005170784432141531,10615254737727.324,1.1118005739149237e-05,0.05076720586350257,0.06541189097923959,0.047378113924010506,0.05321504569751582,0.0671272807141059,0.05060405042095391,0.05321504569751582,0.06712728071410584,0.050604050420953964,0.05497622690656992,0.06990733412535266,0.05108106376898385
2500,1.0887451171875,1.7267017364501953,0.0006700587716354697,17607997454676.664,6.927903131248216e-06,0.0003909538046168049,14756003460393.91,4.255283025543861e-06,0.0003909538046168049,14756003460394.076,4.255283025543852e-06,0.0447874205665715,0.05565361204719882,0.03248961154946779,0.04532648289327613,0.05479984564906345,0.03425711444554786,0.04532648289327616,0.054799845649063476,0.03425711444554771,0.04561218097309384,0.06155453132026215,0.036742128881851355
3000,1.0887451171875,2.5056800842285156,0.0005233374758704917,25669931486043.85,8.861686494383943e-06,0.0003881563584191688,22322613822712.375,7.49404411999634e-06,0.0003881563584191688,22322613822712.668,7.4940441199963236e-06,0.039565241884544695,0.061046372488993736,0.03448092959871242,0.040850559449937214,0.06226474673364889,0.03494007661315353,0.040850559449937235,0.06226474673364882,0.03494007661315353,0.03963652820345126,0.06110302990883001,0.034504857428499396
3500,1.0887451171875,2.6187617778778076,0.0002615815560652,21620204063848.426,4.890997405501254e-06,0.0002121468259660406,8095297595782.581,4.407338105656098e-06,0.00021214682596604057,8095297595782.667,4.407338105656086e-06,0.041924671006442496,0.05413368624921056,0.0336803094800248,0.043821609890166605,0.055465167115148005,0.03588162281730858,0.043821609890166625,0.055465167115147956,0.035881622817308584,0.044016096350067625,0.05516390841223109,0.0361576572672922
4000,1.0887451171875,2.5760250091552734,0.00018073123420975535,14940325297843.39,4.018208159502167e-06,0.00018457408364686224,16897070827325.553,4.887980745088477e-06,0.0001845740836468623,16897070827325.5,4.887980745088476e-06,0.03885962683065993,0.05410627602782185,0.030180817736152613,0.04040346070171215,0.05630898198664852,0.03171556424159567,0.04040346070171216,0.05630898198664849,0.03171556424159566,0.04013122527390237,0.05665378233595462,0.03162050906028478
4500,1.0887451171875,2.135977268218994,0.0011505027393472027,49032212483454.43,2.0445570376495016e-05,0.000711331551351708,51799172892580.89,2.0382561057874357e-05,0.000711331551351708,51799172892581.21,2.038256105787433e-05,0.05130956128337638,0.0878298158352174,0.05350790765507354,0.05329804225819415,0.09119334901766385,0.054327688631584506,0.053298042258194164,0.09119334901766381,0.05432768863158445,0.09669028216483067,0.1581560832718988,0.09163575274119205
5000,1.0887451171875,2.3883891105651855,0.00033936136544718433,11549409245657.748,7.564761547277041e-06,0.000201275591879152,10557831476633.834,5.79510057963138e-06,0.000201275591879152,10557831476633.91,5.795100579631369e-06,0.034214929014342324,0.0541036994805753,0.03112919722739283,0.0349282148792814,0.0554774942845424,0.030857241075904637,0.0349282148792814,0.055477494284542364,0.030857241075904623,0.037897156503754414,0.0579692634380183,0.032653786760139254
