train_points,gpu_memory,time,train_mse_max,train_mse_tot,train_mse_avg,test_mse_noisy_max,test_mse_noisy_tot,test_mse_noisy_avg,test_mse_exact_max,test_mse_exact_tot,test_mse_exact_avg,train_mape_max,train_mape_tot,train_mape_avg,test_mape_noisy_max,test_mape_noisy_tot,test_mape_noisy_avg,test_mape_exact_max,test_mape_exact_tot,test_mape_exact_avg,test_mape_exact_uncorrected_max,test_mape_exact_uncorrected_tot,test_mape_exact_uncorrected_avg
500,1.0887451171875,2.7838382720947266,0.000997468541589286,120799326350902.0,2.4855952949823617e-05,0.000474389786487418,45509703049683.6,2.7796591320513635e-05,0.00036022195111158183,50788780140537.74,1.705369638544396e-05,0.07181344360273063,0.11786067312345608,0.06991292921411926,0.09394012082936506,0.13876462693213393,0.0851314966870005,0.07888700032340167,0.12671164094721937,0.07687102743607915,0.07677713662583112,0.12167810289865472,0.07642838125148341
1000,1.0887451171875,0.8164811134338379,0.001525527725193956,59646168581548.13,4.269396107959367e-05,0.0010323842449014692,23923634863373.32,3.08065121907239e-05,0.0010046994107076226,28835979587179.344,2.9912961550418977e-05,0.08245493267655896,0.10947193147375665,0.0725914637282752,0.08837169653465145,0.11518179970616281,0.07675174678297131,0.08186725797362737,0.11413628959054972,0.06946507849347947,0.07771008710509934,0.10917615128018023,0.06567287875508707
1500,1.0887451171875,2.103153944015503,0.000453681366345503,30476616927051.38,1.2387549831135516e-05,0.0004343906375175754,33098196399767.734,1.1554360690644305e-05,0.00043023216601025476,38056255080004.02,6.899629075781818e-06,0.05828676967177174,0.06929850844518323,0.05486383035797041,0.06061538055760066,0.07805061954783572,0.0556027286648655,0.04597847856054634,0.0700287310720721,0.03912021576000666,0.044875293153548865,0.06896002075945588,0.038961210509728006
2000,1.0887451171875,1.7100152969360352,0.0006039655985933598,14511522211369.885,1.483941228541195e-05,0.0004464646245708802,12460286162236.816,1.4485683232449233e-05,0.0004222587371101121,10114777956343.225,9.381031642207006e-06,0.0577792776734586,0.06940939122889589,0.060475783195314284,0.057749431482623424,0.07219047268690736,0.061845316874386144,0.04401276859473508,0.06002485095515732,0.04762990729912113,0.04409655322794734,0.06036889195214338,0.04764267198814601
2500,1.0887451171875,2.8113677501678467,0.0004598367329550012,15003544621702.242,1.587089429086587e-05,0.00027711033949323773,11317468550938.818,1.4470536369084087e-05,0.00020651438034462633,10091664380677.535,9.614704800235936e-06,0.05646930361183861,0.06766755633029846,0.058866734014411844,0.05792626753251695,0.06876787504977612,0.06009513643274765,0.03917463417411669,0.05818036744396485,0.043496884954521385,0.03957295280858956,0.058456102789898316,0.04390563249548874
3000,1.0887451171875,1.9753293991088867,0.0008909913389224905,43210313739637.05,1.954837486604585e-05,0.0007327257979269315,31522078703397.383,1.6949214152121688e-05,0.000680687216207858,32671912371902.734,1.3521149911111034e-05,0.06081984336262084,0.07678620638875053,0.056685388249027566,0.06146996688920344,0.07815311943536125,0.05885436552161605,0.04777041502340829,0.06973088216148572,0.0435456408314271,0.04737156443077538,0.07044904507377721,0.043500038716751996
3500,1.0887451171875,1.5509350299835205,0.00035563021982667955,18100841812041.555,1.0495816439256356e-05,0.0003652900147073633,13587108840452.805,1.1510974403102225e-05,0.00026118569849115146,10944480913590.729,6.461358409400294e-06,0.05330949639804019,0.07254781550980843,0.05153826743795209,0.05521281304481848,0.07624878450740367,0.051214095795561486,0.03823354516904621,0.06438015096536669,0.03361711217830399,0.03833373727009122,0.06497058312075803,0.03398557802715773
4000,1.0887451171875,1.9647574424743652,0.0005275346319170234,16146949160967.57,1.234652146863355e-05,0.00048200271366438587,15110588527071.998,1.3440962442199066e-05,0.000340983222061664,9866853198921.936,7.346418778645201e-06,0.06250254752157494,0.07824267801374052,0.05818573941637615,0.06531277137432008,0.07894549660130747,0.058698768606888586,0.050599563452531554,0.06835423239732477,0.04281504487473992,0.05093416305329645,0.06930043894053597,0.0440374730699595
4500,1.0887451171875,1.5134718418121338,0.00035656105057584134,16799681301475.611,9.448085077579369e-06,0.00038129084651272017,18462403555999.047,1.0262537977347172e-05,0.00023573690508177088,14584856766237.916,4.333620655362489e-06,0.06219180620088586,0.07800145193056211,0.05429636468069091,0.06331478459859552,0.07862428880667593,0.055005119608375556,0.04881510986987652,0.06712932087970891,0.037125931717096265,0.05441116728297726,0.0925715454805547,0.04877019182839436
5000,1.0887451171875,3.2486348152160645,0.00029767736103785244,21923513191208.594,8.81443364647242e-06,0.00026287065792259093,19517246509782.816,9.46983948749795e-06,0.00013191214461257024,15634826801285.754,3.8148100134731264e-06,0.04955308784387513,0.06214037955106329,0.046891415154250805,0.04930857221499503,0.06294798658857903,0.04658560578482475,0.029160128296400085,0.049048430076343276,0.026092847635153328,0.033369217529972135,0.055890653376975276,0.029611589121352862
