train_points,gpu_memory,time,train_mse_max,train_mse_tot,train_mse_avg,test_mse_noisy_max,test_mse_noisy_tot,test_mse_noisy_avg,test_mse_exact_max,test_mse_exact_tot,test_mse_exact_avg,train_mape_max,train_mape_tot,train_mape_avg,test_mape_noisy_max,test_mape_noisy_tot,test_mape_noisy_avg,test_mape_exact_max,test_mape_exact_tot,test_mape_exact_avg,test_mape_exact_uncorrected_max,test_mape_exact_uncorrected_tot,test_mape_exact_uncorrected_avg
500,1.6199951171875,0.8301458358764648,4.8338042688556015e-05,4526426816512.0,1.672593839430192e-06,1.1421465387684293e-05,2287250440192.0,8.607324843978859e-07,1.1421465387684293e-05,2287250440192.0,8.607324843978859e-07,0.010769398882985115,0.017890792340040207,0.009911062195897102,0.012599914334714413,0.023465383797883987,0.012648421339690685,0.012599914334714413,0.023465383797883987,0.012648421339690685,0.01260368712246418,0.023319631814956665,0.012639936991035938
1000,1.6199951171875,0.2991480827331543,4.500092109083198e-05,5883806875648.0,1.6618467952866922e-06,7.829482638044283e-05,12399447900160.0,2.9695795547013404e-06,7.829482638044283e-05,12399447900160.0,2.9695795547013404e-06,0.008440989069640636,0.013891763985157013,0.0076385741122066975,0.009960761293768883,0.01732216589152813,0.009328971616923809,0.009960761293768883,0.01732216589152813,0.009328971616923809,0.009979869239032269,0.017315013334155083,0.009343130514025688
1500,1.6199951171875,0.31398749351501465,2.3357975805993192e-05,2918894534656.0,7.739554348518141e-07,2.4045051759458147e-05,4190503436288.0,8.761872436480189e-07,2.4045051759458147e-05,4190503436288.0,8.761872436480189e-07,0.007813536562025547,0.012250049971044064,0.007014596369117498,0.008611777797341347,0.014463371597230434,0.0079796202480793,0.008611777797341347,0.014463371597230434,0.0079796202480793,0.008636396378278732,0.014451757073402405,0.007979371584951878
2000,1.6180419921875,0.3210103511810303,1.6171097740880214e-05,1637295063040.0,5.230877491158026e-07,1.4755759366380516e-05,2140999647232.0,5.463936076921527e-07,1.4755759366380516e-05,2140999647232.0,5.463936076921527e-07,0.007360763847827911,0.011733532883226871,0.006770798470824957,0.007634999230504036,0.012651896104216576,0.0071807242929935455,0.007634999230504036,0.012651896104216576,0.0071807242929935455,0.007637469097971916,0.012659352272748947,0.0071791657246649265
2500,1.6180419921875,0.335904598236084,1.3249385119706858e-05,1436623306752.0,3.7155686527512444e-07,1.093958690034924e-05,1314814689280.0,3.3846558267214277e-07,1.093958690034924e-05,1314814689280.0,3.3846558267214277e-07,0.007073265966027975,0.011568554677069187,0.006357511971145868,0.0073876939713954926,0.012159349396824837,0.006783462595194578,0.0073876939713954926,0.012159349396824837,0.006783462595194578,0.0074234758503735065,0.012215325608849525,0.006786458659917116
3000,1.6180419921875,0.3505830764770508,1.1068388630519621e-05,1266044108800.0,3.1513667408944457e-07,9.37260210776003e-06,1083541422080.0,2.7268293933957466e-07,9.37260210776003e-06,1083541422080.0,2.7268293933957466e-07,0.0069176992401480675,0.011445865966379642,0.006388858892023563,0.00712038716301322,0.011816048994660378,0.006625792011618614,0.00712038716301322,0.011816048994660378,0.006625792011618614,0.007172332610934973,0.011838256381452084,0.0066331252455711365
3500,1.6180419921875,0.3545103073120117,9.099247108679265e-06,1091714351104.0,2.648878592026449e-07,6.080915682105115e-06,830668144640.0,2.1113832815444766e-07,6.080915682105115e-06,830668144640.0,2.1113832815444766e-07,0.006766799837350845,0.011176117695868015,0.0062943254597485065,0.006870662793517113,0.01142224483191967,0.006417757365852594,0.006870662793517113,0.01142224483191967,0.006417757365852594,0.0069455839693546295,0.011492897756397724,0.006443002261221409
4000,1.6180419921875,0.36969518661499023,8.41785549710039e-06,960581533696.0,2.441790343254979e-07,6.346601821860531e-06,785011048448.0,2.0594281124886038e-07,6.346601821860531e-06,785011048448.0,2.0594281124886038e-07,0.006676647812128067,0.011103076860308647,0.006215612404048443,0.006757717113941908,0.011293846182525158,0.006327942945063114,0.006757717113941908,0.011293846182525158,0.006327942945063114,0.006818889640271664,0.01141438726335764,0.006369090639054775
4500,1.6180419921875,0.372880220413208,6.732466317771468e-06,914871418880.0,2.309919580056885e-07,5.400542704592226e-06,730279444480.0,2.129477536527702e-07,5.400542704592226e-06,730279444480.0,2.129477536527702e-07,0.006535855587571859,0.010920032858848572,0.006102613173425198,0.006684555672109127,0.011020503006875515,0.006199961993843317,0.006684555672109127,0.011020503006875515,0.006199961993843317,0.006727409549057484,0.01112994085997343,0.006237476132810116
5000,1.6180419921875,0.3762500286102295,6.239824870135635e-06,859253637120.0,2.1929649562935083e-07,4.923818778479472e-06,650846535680.0,1.9201010559299903e-07,4.923818778479472e-06,650846535680.0,1.9201010559299903e-07,0.006417691241949797,0.010878796689212322,0.006139378063380718,0.006599298678338528,0.011027120985090733,0.006259991321712732,0.006599298678338528,0.011027120985090733,0.006259991321712732,0.0066705611534416676,0.011154746636748314,0.0062895361334085464
