train_points,gpu_memory,time,train_mse_max,train_mse_tot,train_mse_avg,test_mse_noisy_max,test_mse_noisy_tot,test_mse_noisy_avg,train_mape_max,train_mape_tot,train_mape_avg,test_mape_noisy_max,test_mape_noisy_tot,test_mape_noisy_avg,test_mape_exact_max,test_mape_exact_tot,test_mape_exact_avg,test_mape_exact_uncorrected_max,test_mape_exact_uncorrected_tot,test_mape_exact_uncorrected_avg
1000,1.6180419921875,0.8867688179016113,0.0007398453890345991,46137176227840.0,3.012769593624398e-05,0.0005695017753168941,42113802698752.0,3.05314788420219e-05,0.07478244602680206,0.07543588429689407,0.07461026310920715,0.08686884492635727,0.09043337404727936,0.08852364867925644,0.02927469275891781,0.03324941173195839,0.0306039210408926,0.029586199671030045,0.03363145515322685,0.03115367330610752
2000,1.6180419921875,0.39554834365844727,0.0006277200300246477,32054402088960.0,2.6374273147666827e-05,0.0004405914805829525,24696909201408.0,2.220263377239462e-05,0.07769795507192612,0.07789530605077744,0.07739868015050888,0.082589291036129,0.0836181640625,0.08275450021028519,0.0196271613240242,0.02214590460062027,0.02057671919465065,0.020202694460749626,0.022482819855213165,0.020900020375847816
3000,1.6180419921875,0.4812326431274414,0.0006115534342825413,32016552689664.0,2.5782877855817787e-05,0.0005457383231259882,27096342593536.0,2.6148320102947764e-05,0.07893729954957962,0.07909491658210754,0.07866574823856354,0.08281386643648148,0.0832577645778656,0.08280043303966522,0.01665007323026657,0.018262915313243866,0.01675262302160263,0.016988877207040787,0.018412286415696144,0.01687285676598549
4000,1.6180419921875,0.530754566192627,0.0005673458217643201,28737286438912.0,2.4262744773295708e-05,0.000539760512765497,27747795599360.0,2.646325810928829e-05,0.08033686876296997,0.08031647652387619,0.08002284169197083,0.08142392337322235,0.08253530412912369,0.081906758248806,0.01372713502496481,0.015543677844107151,0.014669438824057579,0.013785955496132374,0.015288271009922028,0.014490797184407711
5000,1.6180419921875,0.6039249897003174,0.0006257742061279714,31425946451968.0,2.6015793991973624e-05,0.000520429399330169,24369864638464.0,2.5023618945851922e-05,0.08084236085414886,0.08091229945421219,0.08065126836299896,0.07987989485263824,0.08052795380353928,0.08010897785425186,0.012579035945236683,0.014305726625025272,0.01295822486281395,0.012970625422894955,0.014489823952317238,0.01322868000715971
6000,1.6180419921875,0.7004666328430176,0.0006034297402948141,29722616528896.0,2.5097677280427888e-05,0.0005627481732517481,25488779116544.0,2.6062481992994435e-05,0.08024057745933533,0.0803237110376358,0.08004330098628998,0.07929479330778122,0.07992672920227051,0.0794842392206192,0.011768416501581669,0.013103460893034935,0.011929000727832317,0.012277896516025066,0.013567455112934113,0.012538987211883068
7000,1.6180419921875,0.7700653076171875,0.0005716278101317585,26837631631360.0,2.4008098989725113e-05,0.0005738670588470995,27302282919936.0,2.6409477868583053e-05,0.08007986098527908,0.08010771870613098,0.0799218937754631,0.0789579451084137,0.0793587788939476,0.07909521460533142,0.011846503242850304,0.012950352393090725,0.012154359370470047,0.012457852251827717,0.01322487648576498,0.012816617265343666
8000,1.6180419921875,0.8321619033813477,0.0005795750766992569,26894739177472.0,2.451313594065141e-05,0.0005523186991922557,24262050054144.0,2.4965118427644484e-05,0.08027860522270203,0.08030615001916885,0.08013756573200226,0.07897040992975235,0.07921344041824341,0.07906617969274521,0.011709953658282757,0.012228618375957012,0.011649292893707752,0.012264344841241837,0.012439376674592495,0.01211980264633894
9000,1.6180419921875,0.939011812210083,0.0006097379373386502,27852445581312.0,2.526223579479847e-05,0.0005212421528995037,22593623031808.0,2.3840362700866535e-05,0.0801292359828949,0.08016882836818695,0.07999937236309052,0.07902050763368607,0.0792754590511322,0.07908280938863754,0.01157816220074892,0.011920511722564697,0.01141802966594696,0.012051540426909924,0.012290379963815212,0.011906391941010952
10000,1.6186930338541667,1.0204763412475586,0.0006095605785958469,27749420892160.0,2.5144014216493815e-05,0.0005071958294138312,21741220921344.0,2.302038592461031e-05,0.0800599604845047,0.08009682595729828,0.07992683351039886,0.07947487384080887,0.07967424392700195,0.07954118400812149,0.010645272210240364,0.011609015055000782,0.010890965349972248,0.011174068786203861,0.012098588049411774,0.011482451111078262
